data/previsao_de_renda.csv
id_cliente,data_ref,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda
1,2021-01-01,F,1,1,2,1,3,1,1,35,5,4,3000
2,2021-01-01,M,1,1,0,2,2,2,1,40,10,3,4500
3,2021-01-01,F,0,1,1,1,3,1,2,28,2,2,2000
4,2021-01-01,M,1,0,3,2,1,2,1,50,15,5,6000
5,2021-01-01,F,1,1,2,1,2,1,1,30,3,4,3500
6,2021-01-01,M,0,1,1,2,3,2,2,45,8,3,5000
7,2021-01-01,F,1,1,0,1,2,1,1,32,4,4,2800
8,2021-01-01,M,1,0,2,2,1,2,1,38,12,3,4800
9,2021-01-01,F,1,1,1,1,3,1,2,29,1,2,2200
10,2021-01-01,M,0,1,3,2,2,2,1,55,20,5,7000
